,name,volume,market_cap,floor_price,Avg_price,sales,assets,owners,owners_per
312,MineablePunks,Ethereum,"1,258.51 ETH",45.83%,85.01 ETH,0.015 ETH,209.75 ETH,6,9.72%
313,Dreadfulz,Ethereum,"1,009.03 ETH",10.01%,165.65 ETH,0.015 ETH,126.13 ETH,8,10.01%
314,Opepen Edition,Ethereum,549.76 ETH,57.70%,"8,060.8 ETH",0.789 ETH,0.9209 ETH,597,11.36%
315,Azuki,Ethereum,533.26 ETH,27.95%,"145,236 ETH",14.8 ETH,15.24 ETH,35,6.01%
316,DeGods,Ethereum,433.22 ETH,36.61%,"74,478.36 ETH",8.9 ETH,8.6643 ETH,50,1.09%
317,CryptoPunks,Ethereum,369.61 ETH,506.42%,"638,729 ETH",54.49 ETH,52.8 ETH,7,73.26%
318,Nakamigos,Ethereum,311.26 ETH,20.48%,"5,556 ETH",0.298 ETH,0.4745 ETH,656,18.31%
319,Milady,Ethereum,281.47 ETH,26.82%,"40,695 ETH",3.25 ETH,3.1626 ETH,89,2.16%
320,PudgyPenguins,Ethereum,222.21 ETH,41.79%,"41,083.89 ETH",5.348 ETH,5.2908 ETH,42,0.21%
321,Beanz,Ethereum,150.23 ETH,33.17%,"25,841.24 ETH",1.37 ETH,1.5648 ETH,96,11.39%
322,Moonbirds,Ethereum,140.28 ETH,16.51%,"22,337 ETH",2.0189 ETH,2.004 ETH,70,1.01%
323,Captainz,Ethereum,109.67 ETH,22.76%,"78,006.2 ETH",8.55 ETH,7.8336 ETH,14,10.35%
324,CloneX,Ethereum,95.46 ETH,76.46%,"56,921.53 ETH",3.2 ETH,3.1819 ETH,30,5.89%
325,Art Blocks,Ethereum,94.25 ETH,189.89%,"221,769.4 ETH",2.5 ETH,1.8124 ETH,52,100.69%
326,Otherdeed,Ethereum,82.09 ETH,42.15%,"134,330 ETH",1 ETH,1.303 ETH,63,42.15%
327,TEST NFT,Ethereum,74.46 ETH,22.69%,"13,258 ETH",1.0799 ETH,1.095 ETH,68,5.73%
328,0xMahjong,Ethereum,72.91 ETH,275.80%,179.4 ETH,0.199 ETH,0.1381 ETH,528,16.73%
329,The Shards,Ethereum,10.06 ETH,1005.57%,"1,405.45 ETH",0.44 ETH,0.6288 ETH,16,38.20%
330,Genuine Undead,Ethereum,9.7789 ETH,32.90%,"1,393.86 ETH",0.1325 ETH,0.1811 ETH,54,18.05%
331,MONGS,Ethereum,9.7306 ETH,22.90%,"2,108.82 ETH",0.2295 ETH,0.2433 ETH,40,3.63%
332,Owlpha,Polygon,"18,702.86 MATIC",45.45%,"1,782,223.43 MATIC",409.33 MATIC,644.93 MATIC,29,25.38%
333,RSTLSS x Claire Silver,Ethereum,9.253 ETH,56.88%,461.16 ETH,0.119 ETH,0.2804 ETH,33,37.21%
334,ENS,Ethereum,9.2138 ETH,0.82%,"460,101.5 ETH",--,0.05832 ETH,158,4.29%
335,SPACE ID .arb Name Service,Arbitrum,8.9901 ETH,233.38%,"17,535.49 ETH",0.0011 ETH,0.04913 ETH,183,107.68%
336,QQL Mint Pass,Ethereum,8.9272 ETH,12.61%,"2,984.31 ETH",6.66 ETH,4.4636 ETH,2,43.69%
337,The Plague,Ethereum,8.891 ETH,144.32%,"3,242.8 ETH",0.35 ETH,0.3293 ETH,27,18.56%
338,Wumbo Pass,Ethereum,8.881 ETH,169.12%,611.91 ETH,1.688 ETH,1.7762 ETH,5,7.65%
339,Jikan Studios,Solana,278.26 SOL,13.33%,"41,135.02 SOL",6.0862 SOL,6.3241 SOL,44,35.40%
340,Elixir: Ovols,Solana,262.86 SOL,17.72%,"162,025.01 SOL",9.7573 SOL,10.11 SOL,26,172.15%
341,MERGE,Ethereum,2.903 ETH,326.47%,"2,022 ETH",0.2499 ETH,0.2233 ETH,13,1.58%
342,Kubz Relic,Ethereum,2.899 ETH,28.50%,"1,049.26 ETH",0.015 ETH,0.0223 ETH,130,43.66%
343,KILLABITS,Ethereum,2.8967 ETH,71.71%,"2,332.1 ETH",0.52 ETH,0.5793 ETH,5,1.85%
344,SHIBOSHIS,Ethereum,2.8499 ETH,183.63%,"2,249 ETH",0.3 ETH,0.2591 ETH,11,3.14%
345,Terraforms,Ethereum,2.83 ETH,86.57%,"12,803.72 ETH",1.3869 ETH,1.415 ETH,2,26.12%
346,For a Limited Time,Ethereum,2.8178 ETH,773.28%,56.25 ETH,0.15 ETH,0.1084 ETH,26,34.35%
347,AcceptanceLtr,Ethereum,2.7368 ETH,29.15%,0.3114 ETH,0.0195 ETH,0.04344 ETH,63,1.04%
348,Etheria Wrapper v1pt0 2015-10-22,Ethereum,2.7203 ETH,58.13%,662.72 ETH,3.95 ETH,2.7203 ETH,1,-
349,Land of Valeria,Ethereum,2.711 ETH,59.44%,"3,153 ETH",0.3849 ETH,0.4518 ETH,6,21.69%
350,Asprey Studio Club,Ethereum,2.7 ETH,58.82%,548.85 ETH,3.1 ETH,2.7 ETH,1,-
351,Introducing World App,Ethereum,2.6939 ETH,13.41%,"1,666.04 ETH",0.0157 ETH,0.01456 ETH,185,6.82%
352,Mocaverse,Ethereum,2.61 ETH,62.11%,"5,310.58 ETH",0.7 ETH,0.6525 ETH,4,21.58%
353,Bit Bears,Ethereum,2.591 ETH,4.06%,"3,104.59 ETH",1.35 ETH,1.2955 ETH,2,4.06%
354,Ordinal Kubz,Ethereum,2.5867 ETH,169.04%,"2,206 ETH",0.26 ETH,0.2351 ETH,11,2.17%
355,NFT3 e8a995,Polygon,"5,147 MATIC",0.02%,"2,537,131.05 MATIC","1,700 MATIC","1,715.67 MATIC",3,33.32%
356,Mooncatz,Ethereum,2.5345 ETH,34.07%,208.31 ETH,0.05 ETH,0.05172 ETH,49,17.92%
357,MutantApeYachtClub,Ethereum,"2,536.86 ETH",184.77%,"188,395.43 ETH",9.595 ETH,9.4659 ETH,268,0.12%
358,BoredApeYachtClub,Ethereum,"2,139.82 ETH",23.66%,"440,756 ETH",46.5 ETH,45.53 ETH,47,0.02%
359,MineablePunks,Ethereum,"1,258.51 ETH",45.83%,85.01 ETH,0.015 ETH,209.75 ETH,6,9.72%
360,Dreadfulz,Ethereum,"1,009.03 ETH",10.01%,165.65 ETH,0.015 ETH,126.13 ETH,8,10.01%
361,Opepen Edition,Ethereum,549.76 ETH,57.70%,"8,060.8 ETH",0.789 ETH,0.9209 ETH,597,11.36%
362,Azuki,Ethereum,533.26 ETH,27.95%,"145,236 ETH",14.8 ETH,15.24 ETH,35,6.01%
363,DeGods,Ethereum,433.22 ETH,36.61%,"74,478.36 ETH",8.9 ETH,8.6643 ETH,50,1.09%
364,CryptoPunks,Ethereum,369.61 ETH,506.42%,"638,729 ETH",54.49 ETH,52.8 ETH,7,73.26%
365,Nakamigos,Ethereum,311.26 ETH,20.48%,"5,556 ETH",0.298 ETH,0.4745 ETH,656,18.31%
366,Milady,Ethereum,281.47 ETH,26.82%,"40,695 ETH",3.25 ETH,3.1626 ETH,89,2.16%
367,PudgyPenguins,Ethereum,222.21 ETH,41.79%,"41,083.89 ETH",5.348 ETH,5.2908 ETH,42,0.21%
368,Beanz,Ethereum,150.23 ETH,33.17%,"25,841.24 ETH",1.37 ETH,1.5648 ETH,96,11.39%
369,Moonbirds,Ethereum,140.28 ETH,16.51%,"22,337 ETH",2.0189 ETH,2.004 ETH,70,1.01%
370,Captainz,Ethereum,109.67 ETH,22.76%,"78,006.2 ETH",8.55 ETH,7.8336 ETH,14,10.35%
371,CloneX,Ethereum,95.46 ETH,76.46%,"56,921.53 ETH",3.2 ETH,3.1819 ETH,30,5.89%
372,Art Blocks,Ethereum,94.25 ETH,189.89%,"221,769.4 ETH",2.5 ETH,1.8124 ETH,52,100.69%
373,Otherdeed,Ethereum,82.09 ETH,42.15%,"134,330 ETH",1 ETH,1.303 ETH,63,42.15%
374,TEST NFT,Ethereum,74.46 ETH,22.69%,"13,258 ETH",1.0799 ETH,1.095 ETH,68,5.73%
375,0xMahjong,Ethereum,72.91 ETH,275.80%,179.4 ETH,0.199 ETH,0.1381 ETH,528,16.73%
376,MutantApeYachtClub,Ethereum,"2,536.86 ETH",184.77%,"188,395.43 ETH",9.595 ETH,9.4659 ETH,268,0.12%
377,BoredApeYachtClub,Ethereum,"2,139.82 ETH",23.66%,"440,756 ETH",46.5 ETH,45.53 ETH,47,0.02%
378,MineablePunks,Ethereum,"1,258.51 ETH",45.83%,85.01 ETH,0.015 ETH,209.75 ETH,6,9.72%
379,Dreadfulz,Ethereum,"1,009.03 ETH",10.01%,165.65 ETH,0.015 ETH,126.13 ETH,8,10.01%
380,Opepen Edition,Ethereum,549.76 ETH,57.70%,"8,060.8 ETH",0.789 ETH,0.9209 ETH,597,11.36%
381,Azuki,Ethereum,533.26 ETH,27.95%,"145,236 ETH",14.8 ETH,15.24 ETH,35,6.01%
